#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Proteobacteria	d__Archaea;p__Thermoplasmatota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Synergistota
ERR2319343	0.026200204	0.018028600612870274	0.015117466802860061	0.29443309499489273	0.6327374872318693	0	0	0.004392237	0	0	0.000919305	0.007201226	0.000153218	0.000561798	0.000255363	0	0	0
ERR2319408	0.052125800815375656	0.028246942341292953	0.051252184	0.5495049504950495	0.3089691322073384	0	0	0.003785673	0	0	0.005532906	0.000582411	0	0	0	0	0	0
ERR2319497	0.006293938	0.002061173	0.003423019	0.7166255659023152	0.2703080716993633	0	0	0.000920166	0	0	0.00011042	0.000257647	0	0	0	0	0	0
ERR2319509	0.031929662193428965	0.00379454	0.011846367422489588	0.5320684868116613	0.37251272559000465	0	0.000185099	0.001203147	0	0	0.004905137	0.03998149	0.001018047	0	0.000555298	0	0	0
ERR2404916	0.007831822	0.025556471558120363	0.014014839241549877	0.3697444352844188	0.29843363561417974	0	0	0.011541632316570486	0	0	0.008244023	0.2646331409727947	0	0	0	0	0	0
ERR2404947	0.028792912513842746	0.004245109	0.003783684	0.083425618	0.8714470284237726	0	0.00110742	0.00166113	0	0	0.00018457	0.005075674	0.000276855	0	0	0	0	0
ERR2405087	0.021056149732620322	0.016293449197860962	0.003342246	0.6153074866310161	0.334725936	0	0.000501337	0.007854278	0	0	0	0.000919118	0	0	0	0	0	0
ERR2405162	0.069392006	0.011066267413097254	0.045306601	0.2132534826194506	0.629735711	0	0	0.010415310506444474	0	0	0.001692488	0.014711626	0.000260383	0.003905741	0	0	0.000260383	0
ERR2405264	0.063095238	0.053968254	0.011111111111111112	0.1599206349206349	0.6619047619047619	0	0	0.042857143	0	0	0.000793651	0.006349206	0	0	0	0	0	0
ERR2405281	0.021673387096774195	0.003192204	0.002520161	0.26780913978494625	0.6580981182795699	0	0.001176075	0.035114247311827954	0	0	0.001344086	0.005880376	0	0.002856183	0.000336022	0	0	0
ERR2405343	0.011458060001749322	0.055366045657307794	0.003236246	0.7666404268346015	0.15122889880171433	0	0	0	0	0	0.012070323	0	0	0	0	0	0	0
