#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Deinococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Fusobacteriota	d__Archaea;p__Thermoplasmatota	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Synergistota
ERR2314095	0.012919965052553547	0.003256467	0.18365942124910645	0.013131767758333112	0.7449630669031797	0	0.022768791	0.000423605	0.012655211670329089	0	0.004897938	0	0.00113844	0	0.000132377	0	0	5.295067644489158e-05
ERR2314116	0.030100238389292586	0.047965075	0.3636441968004136	0.06097596	0.44802826205589225	0.001062699	0.004566735	8.616480454950168e-05	0.013097050291524255	0.020220007467616395	0.004279519	0.005629434	0.000344659	0	0	0	0	0
ERR2314117	0.013407304669440592	0.015256588072122053	0.3851132686084142	0.028663892741562644	0.526583449	0.011558021	0	0	0.019417475728155338	0	0	0	0	0	0	0	0	0
ERR2314119	0.017844995	0.041237113402061855	0.6038515882568424	0.017374012	0.2778795332042493	0	0.037469255	0	0	0	0.003977184	0.00036632	0	0	0	0	0	0
ERR2314195	0.45526963995597713	0.002253551	0.037419422	0.062627745	0.4403857240186573	0	0	0	0.000157224	0	0.001886694	0	0	0	0	0	0	0
ERR2314198	0.041619318	0.002698864	0.3119318181818182	0.037073863636363634	0.5896306818181818	0	0.010227272727272727	0.000568182	0	0	0.002698864	0	0.003551136	0	0	0	0	0
ERR2314237	0.050215208	0.030948965	0.4113547858167657	0.041196967	0.3385939741750359	0	0.083623693	0	0.042221766755482684	0	0.00184464	0	0	0	0	0	0	0
ERR2314354	0.006685332	0.01685618	0.7703559796583053	0.00142849	0.14833438089252043	0	0.054854008	0.000799954	0	0	0.000685675	0	0	0	0	0	0	0
ERR2318074	0.009845109	0.013579461065138977	0.4457882452790155	0.010863568852111182	0.48224061107574795	0	0.015998302567366857	0.000127307	0.008529599	0	0.000339487	0.011500106089539571	0.001188203	0	0	0	0	0
ERR2318075	0.018314152	0.007725051	0.1617005622996479	0.062903989	0.7444689684166272	0	0.00018393	0.000315308	0.004282937	0	0.000105103	0	0	0	0	0	0	0
